participant_id,C_wpu,c_pret,c_form,line,GroupStatus,gesture_rep,gesture_all,gesture_icon
117,1,1,nod,1467,BI,0,1,0
132,1,1,shh,220,BI,0,1,0
132,2,1,NA,470,BI,0,0,0
132,1,1,NA,821,BI,0,0,0
132,1,1,NA,822,BI,0,0,0
132,1,1,NA,824,BI,0,0,0
132,1,1,NA,828,BI,0,0,0
132,1,1,NA,829,BI,0,0,0
132,3,1,NA,831,BI,0,0,0
132,3,1,NA,1039,BI,0,0,0
132,3,1,palm,1041,BI,0,1,0
132,1,1,NA,1177,BI,0,0,0
132,4,1,NA,1378,BI,0,0,0
132,3,1,NA,1380,BI,0,0,0
132,1,1,NA,1383,BI,0,0,0
132,1,1,NA,1512,BI,0,0,0
132,1,1,NA,1514,BI,0,0,0
132,1,1,NA,1515,BI,0,0,0
132,3,1,NA,1517,BI,0,0,0
132,1,1,NA,1521,BI,0,0,0
132,5,1,NA,1523,BI,0,0,0
132,1,1,NA,1529,BI,0,0,0
132,1,1,NA,1532,BI,0,0,0
132,2,1,NA,1535,BI,0,0,0
132,1,1,NA,1538,BI,0,0,0
132,1,1,NA,1540,BI,0,0,0
132,2,1,point,1546,BI,0,1,0
132,4,1,hold,1547,BI,0,1,0
132,4,1,hold~,1548,BI,0,1,0
132,4,1,hold~,1549,BI,0,1,0
132,1,1,NA,1550,BI,0,0,0
132,1,1,NA,1552,BI,0,0,0
132,5,1,hold,1591,BI,0,1,0
132,1,1,NA,1592,BI,0,0,0
132,5,1,NA,1593,BI,0,0,0
132,1,1,wave,1612,BI,0,1,0
132,1,1,wave,1613,BI,0,1,0
132,1,1,wave,1620,BI,0,1,0
132,1,1,NA,1628,BI,0,0,0
132,1,1,flip,1631,BI,0,1,0
132,2,1,NA,1634,BI,0,0,0
132,1,1,NA,1637,BI,0,0,0
132,1,1,nod,1640,BI,0,1,0
132,15,1,palm,1643,BI,0,1,0
132,1,1,NA,1645,BI,0,0,0
132,5,1,flip,1648,BI,0,1,0
132,1,1,NA,1650,BI,0,0,0
132,6,1,palm,1652,BI,0,1,0
132,7,1,NA,1653,BI,0,0,0
132,1,1,NA,1657,BI,0,0,0
132,10,1,NA,1659,BI,0,0,0
132,1,1,wave~,1664,BI,0,1,0
135,1,1,NA,774,BI,0,0,0
135,4,1,hold,801,BI,0,1,0
135,3,1,NA,808,BI,0,0,0
135,3,1,NA,811,BI,0,0,0
135,3,1,NA,812,BI,0,0,0
135,2,1,NA,814,BI,0,0,0
135,3,1,NA,815,BI,0,0,0
135,4,1,NA,873,BI,0,0,0
135,6,1,NA,895,BI,0,0,0
135,1,1,NA,1002,BI,0,0,0
135,3,1,NA,1003,BI,0,0,0
135,5,1,NA,1006,BI,0,0,0
135,2,1,NA,1015,BI,0,0,0
135,6,1,NA,1016,BI,0,0,0
135,6,1,NA,1020,BI,0,0,0
135,3,1,NA,1029,BI,0,0,0
135,3,1,NA,1032,BI,0,0,0
135,3,1,NA,1036,BI,0,0,0
135,3,1,NA,1037,BI,0,0,0
135,3,1,NA,1038,BI,0,0,0
