participant_id,total_pretend_play,mlu,any_pretend_play,total_rep_gestures,total_all_gestures,group_status
22,100,1.5955801104972376,1,2,263,TD
25,88,1.2880851063829788,1,20,297,TD
28,334,1.5915141430948418,1,14,281,TD
29,261,1.7101328903654485,1,55,384,TD
30,1,0.6321922796795338,1,0,33,PL
35,24,1.624031007751938,1,1,57,PL
37,59,1.0887445887445888,1,0,161,TD
38,205,2.02659069325736,1,4,96,TD
40,65,0.8947368421052632,1,8,281,TD
42,54,1.608012568735271,1,4,205,TD
43,198,1.5903457273320287,1,20,132,TD
44,21,2.195918367346939,1,15,164,TD
45,240,2.0115850447604,1,22,274,TD
46,53,0,1,0,0,PL
54,204,1.7171662125340599,1,16,133,TD
58,157,1.547754259163655,1,6,251,TD
61,28,1.0523929471032745,1,4,219,TD
68,16,0.5034802784222738,1,2,153,TD
75,24,1.1433399042523233,1,20,455,TD
84,155,0.9954954954954955,1,7,193,TD
93,36,2.028363636363636,1,0,127,PL
94,233,1.0833333333333333,1,4,66,PL
102,76,0.6857142857142857,1,0,140,TD
103,222,1.6639344262295082,1,14,138,TD
106,75,0.5972427375677006,1,8,546,TD
117,0,0.7638221153846154,0,0,129,PL
132,147,0.9285714285714286,1,5,238,PL
135,551,1.1310160427807487,1,12,106,PL
150,29,1.4445525291828794,1,7,130,PL
NA,244,0,1,0,0,PL
